"ap_compressor","timestamp","ap_compressorunit_gtn","bhp","enginestatus"
Trimont_Unit01,2025-10-18 01:00:00.000,"13",94.20507813,R
Zeeland_Unit01,2025-10-18 01:00:00.000,"8",12.81701756,R
Garvin_Unit01,2025-10-18 01:00:00.000,"12",27816.7734375,R
Wetonka_Unit01,2025-10-18 01:00:00.000,"9",31169.0625,R
Eldridge_Unit01,2025-10-18 01:00:00.000,"16",-7.15541983,R
Desplains_Unit01,2025-10-18 01:00:00.000,"18",42598.1015625,U
LaMoille_Unit01,2025-10-18 01:00:00.000,"17",2181.61328125,R
GlenUllin_Unit01,2025-10-18 01:00:00.000,"6",0.0,R
Glasgow_Unit01,2025-10-18 01:00:00.000,"1",1.0,U
Desplains_Unit01,2025-10-18 00:00:00.000,"18",22937.25,U
GrundyCenter_Unit01,2025-10-18 00:00:00.000,"14",-5.69478703,A
Zeeland_Unit01,2025-10-18 00:00:00.000,"8",12.81701756,R
Clark_Unit01,2025-10-18 00:00:00.000,"10",29244.93945313,R
LaMoille_Unit01,2025-10-18 00:00:00.000,"17",2134.16577148,R
Arnegard_Unit01,2025-10-18 00:00:00.000,"4",0.0,A
Estelline_Unit01,2025-10-18 00:00:00.000,"11",28296.5,R
WolfPoint_Unit01,2025-10-18 00:00:00.000,"2",0.74141049,A
GlenUllin_Unit01,2025-10-18 00:00:00.000,"6",0.0,R
Manning_Unit01,2025-10-18 00:00:00.000,"5",22895.67773438,R
Glasgow_Unit01,2025-10-18 00:00:00.000,"1",1.0,U
StAnthony_Unit01,2025-10-18 00:00:00.000,"7",12.81701756,R
Garvin_Unit01,2025-10-18 00:00:00.000,"12",27710.39257813,R
Culbertson_Unit01,2025-10-18 00:00:00.000,"3",0.0,A
LoneTree_Unit01,2025-10-18 00:00:00.000,"15",,A
Trimont_Unit01,2025-10-18 00:00:00.000,"13",89.71911621,R
Wetonka_Unit01,2025-10-18 00:00:00.000,"9",31346.578125,R
Eldridge_Unit01,2025-10-18 00:00:00.000,"16",-7.15868711,R
GrundyCenter_Unit01,2025-10-17 23:00:00.000,"14",-5.63714695,A
Clark_Unit01,2025-10-17 23:00:00.000,"10",28996.27929688,R
Desplains_Unit01,2025-10-17 23:00:00.000,"18",65535.0,U
Estelline_Unit01,2025-10-17 23:00:00.000,"11",28229.15429688,R
Wetonka_Unit01,2025-10-17 23:00:00.000,"9",31192.13476563,R
Trimont_Unit01,2025-10-17 23:00:00.000,"13",81.38806152,R
